,customer_id,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,owns_car,name,age,age_range
22,23,M,43,others,others,High Net Worth,Yes,Olav Polak,26,"(18.929, 26.1]"
23,24,F,55,Research Assistant I,Argiculture,Mass Customer,Yes,Kim Skpsey,44,"(40.3, 47.4]"
24,25,M,72,Accounting Assistant III,Financial Services,Mass Customer,Yes,Geoff Assaf,45,"(40.3, 47.4]"
25,26,F,12,Editor,Financial Services,Mass Customer,Yes,Trixi Ginnelly,43,"(40.3, 47.4]"
26,27,M,37,Research Nurse,Health,Mass Customer,Yes,Garvin Klees,43,"(40.3, 47.4]"
27,28,M,5,Senior Quality Engineer,Health,Affluent Customer,Yes,Fee Zellmer,48,"(47.4, 54.5]"
28,29,F,62,Safety Technician III,Manufacturing,Mass Customer,No,Mona Sancraft,53,"(47.4, 54.5]"
29,30,M,18,others,IT,Affluent Customer,Yes,Darrick Helleckas,60,"(54.5, 61.6]"
30,31,F,3,Staff Accountant III,Telecommunications,High Net Worth,Yes,Star Praton,59,"(54.5, 61.6]"
31,32,F,17,Legal Assistant,Manufacturing,Affluent Customer,No,Marion Vanichkin,26,"(18.929, 26.1]"
32,33,M,44,Product Engineer,others,Affluent Customer,Yes,Ernst Hacon,64,"(61.6, 68.7]"
34,35,F,40,Information Systems Manager,Health,High Net Worth,Yes,Margaretha Strettle,58,"(54.5, 61.6]"
35,36,F,33,VP Quality Control,others,Affluent Customer,No,Lurette Stonnell,44,"(40.3, 47.4]"
36,37,F,46,Social Worker,Health,High Net Worth,No,Laurie Dwerryhouse,36,"(33.2, 40.3]"
37,38,F,37,Senior Cost Accountant,Financial Services,Affluent Customer,No,Cordi Merman,66,"(61.6, 68.7]"
38,39,M,5,Assistant Media Planner,Entertainment,Mass Customer,No,Hunfredo Smalley,42,"(40.3, 47.4]"
39,40,F,91,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,No,Tomasine Jerche,40,"(33.2, 40.3]"
40,41,M,64,Food Chemist,Health,Mass Customer,No,Basilius Coupe,45,"(40.3, 47.4]"
41,42,F,24,Accountant III,Manufacturing,Mass Customer,No,Chiquita Durnall,44,"(40.3, 47.4]"
42,43,F,38,Director of Sales,Retail,Mass Customer,No,Indira Belt,38,"(33.2, 40.3]"
43,44,M,63,Assistant Media Planner,Entertainment,Affluent Customer,Yes,Neron Verick,40,"(33.2, 40.3]"
44,45,M,64,Senior Financial Analyst,Financial Services,Mass Customer,No,Trace Woodhead,46,"(40.3, 47.4]"
45,46,F,98,others,others,Affluent Customer,Yes,Kaila Allin,49,"(47.4, 54.5]"
46,47,M,51,Registered Nurse,Health,Affluent Customer,No,Matthew Jeaycock,29,"(26.1, 33.2]"
47,48,F,46,Biostatistician II,others,Mass Customer,Yes,Rebbecca Casone,46,"(40.3, 47.4]"
48,49,M,63,VP Quality Control,others,Affluent Customer,No,Nolly Ownsworth,27,"(26.1, 33.2]"
49,50,M,38,Account Executive,Manufacturing,Mass Customer,Yes,Whitby Schapero,41,"(40.3, 47.4]"
50,51,M,68,Computer Systems Analyst II,Retail,Mass Customer,No,Fidelio Dilke,62,"(61.6, 68.7]"
51,52,M,57,others,Financial Services,Mass Customer,Yes,Curran Bentson,33,"(26.1, 33.2]"
52,53,F,22,Software Test Engineer II,Financial Services,Mass Customer,No,Agnella Gocke,67,"(61.6, 68.7]"
53,54,F,2,Sales Associate,Property,Mass Customer,Yes,Loralyn Wonfor,55,"(54.5, 61.6]"
54,55,M,48,Paralegal,Financial Services,Affluent Customer,Yes,Linc Jillions,65,"(61.6, 68.7]"
55,56,M,44,VP Sales,Property,Mass Customer,Yes,Reese Ensor,25,"(18.929, 26.1]"
56,57,M,87,Chief Design Engineer,others,Mass Customer,Yes,Abba Masedon,33,"(26.1, 33.2]"
57,58,F,26,Office Assistant III,Financial Services,Affluent Customer,Yes,Dalenna Pinnock,54,"(47.4, 54.5]"
58,59,M,60,Physical Therapy Assistant,others,High Net Worth,No,Niki Heathcote,21,"(18.929, 26.1]"
59,60,F,18,others,Manufacturing,Mass Customer,No,Nadiya Champerlen,51,"(47.4, 54.5]"
60,61,F,47,Help Desk Operator,Property,High Net Worth,No,Kacey Rowbottom,62,"(61.6, 68.7]"
61,62,F,38,others,IT,Mass Customer,Yes,Sorcha Roggers,42,"(40.3, 47.4]"
62,63,F,58,Senior Quality Engineer,Retail,Mass Customer,Yes,Ebony Zini,56,"(54.5, 61.6]"
63,64,M,73,Legal Assistant,IT,High Net Worth,No,Gerek Yve,43,"(40.3, 47.4]"
64,65,M,21,Information Systems Manager,Financial Services,Affluent Customer,Yes,Yale Tanser,45,"(40.3, 47.4]"
65,66,M,46,Account Executive,Argiculture,High Net Worth,No,Anselm Gawne,19,"(18.929, 26.1]"
67,68,F,37,Information Systems Manager,others,Affluent Customer,No,Dahlia Eddoes,47,"(40.3, 47.4]"
68,69,F,16,Web Developer II,others,Mass Customer,No,Heidi Milner,52,"(47.4, 54.5]"
69,70,M,78,Paralegal,Financial Services,Affluent Customer,No,Foster Vannoort,28,"(26.1, 33.2]"
70,71,M,30,Research Associate,Argiculture,Affluent Customer,Yes,Hoyt Glavias,36,"(33.2, 40.3]"
71,72,M,93,Administrative Officer,Manufacturing,Affluent Customer,Yes,Sammy Cheese,49,"(47.4, 54.5]"
72,73,F,16,Teacher,others,Affluent Customer,Yes,Minette Worters,61,"(54.5, 61.6]"
73,74,F,94,others,others,Mass Customer,Yes,Pansy Kiddie,52,"(47.4, 54.5]"
74,75,F,28,VP Product Management,Property,Mass Customer,No,Dollie Sealy,43,"(40.3, 47.4]"
75,76,F,20,Statistician II,Retail,High Net Worth,Yes,Rea Hasser,43,"(40.3, 47.4]"
76,77,M,79,Automation Specialist IV,Financial Services,Mass Customer,No,Shermie Andrin,32,"(26.1, 33.2]"
77,78,M,37,Business Systems Development Analyst,Argiculture,Affluent Customer,No,Arch Van der Kruis,36,"(33.2, 40.3]"
78,79,F,76,Account Executive,Manufacturing,Mass Customer,No,Tybi Silliman,53,"(47.4, 54.5]"
79,80,M,11,Data Coordiator,Entertainment,Mass Customer,No,Pablo Small,43,"(40.3, 47.4]"
80,81,F,58,others,Health,High Net Worth,No,Bee Blazewicz,35,"(33.2, 40.3]"
81,82,F,93,Software Test Engineer III,Property,High Net Worth,No,Gleda Cokely,56,"(54.5, 61.6]"
82,83,M,97,Internal Auditor,IT,Mass Customer,Yes,Kerr Simmell,54,"(47.4, 54.5]"
83,84,M,78,Accountant III,others,Mass Customer,Yes,Rich Mathiasen,63,"(61.6, 68.7]"
84,85,M,1,Analyst Programmer,others,Mass Customer,No,Kane Tixall,63,"(61.6, 68.7]"
85,86,M,75,Occupational Therapist,Health,High Net Worth,Yes,Job Sleney,32,"(26.1, 33.2]"
86,87,M,78,Editor,Financial Services,Mass Customer,No,Fields Langdon,47,"(40.3, 47.4]"
87,88,F,41,Help Desk Operator,Property,High Net Worth,Yes,Malynda Tumber,55,"(54.5, 61.6]"
88,89,M,74,Speech Pathologist,Health,Mass Customer,Yes,Benedicto Hoxey,54,"(47.4, 54.5]"
89,90,M,76,Quality Control Specialist,Manufacturing,Mass Customer,No,Cary Garron,37,"(33.2, 40.3]"
90,91,M,69,Senior Financial Analyst,Financial Services,Affluent Customer,Yes,Dylan Meaker,66,"(61.6, 68.7]"
91,92,F,98,Recruiting Manager,Health,Mass Customer,No,Jodee Judkins,41,"(40.3, 47.4]"
92,93,M,63,Project Manager,Retail,Mass Customer,Yes,Gordon Gowar,45,"(40.3, 47.4]"
93,94,M,33,Civil Engineer,Manufacturing,Mass Customer,No,Wallache Simchenko,47,"(40.3, 47.4]"
94,95,F,67,Software Engineer III,Manufacturing,Affluent Customer,Yes,Nomi Mallinder,61,"(54.5, 61.6]"
95,96,M,33,Nuclear Power Engineer,Manufacturing,Mass Customer,No,Heath Olford,53,"(47.4, 54.5]"
96,97,M,16,Community Outreach Specialist,Financial Services,Mass Customer,Yes,Arne Corain,42,"(40.3, 47.4]"
97,98,F,19,Safety Technician IV,Health,Mass Customer,No,Allianora Babalola,65,"(61.6, 68.7]"
98,99,M,97,VP Accounting,Financial Services,Mass Customer,No,Reggie Mulliner,23,"(18.929, 26.1]"
99,100,M,80,General Manager,Financial Services,Mass Customer,Yes,Tripp Steed,53,"(47.4, 54.5]"
100,101,M,83,Nurse Practicioner,Manufacturing,High Net Worth,No,Goran Kwietek,46,"(40.3, 47.4]"
101,102,M,51,Quality Control Specialist,Manufacturing,Affluent Customer,No,Langsdon Tranfield,65,"(61.6, 68.7]"
102,103,F,49,Product Engineer,Financial Services,Affluent Customer,Yes,Ethyl Runham,24,"(18.929, 26.1]"
103,104,F,40,Automation Specialist II,Health,Mass Customer,Yes,Odille Panketh,43,"(40.3, 47.4]"
104,105,F,25,Recruiting Manager,Manufacturing,Mass Customer,No,Maribeth Pristnor,20,"(18.929, 26.1]"
106,107,F,97,Nurse Practicioner,Financial Services,Mass Customer,Yes,Pris Stallebrass,31,"(26.1, 33.2]"
107,108,F,4,others,others,High Net Worth,No,Kayle Mingaud,27,"(26.1, 33.2]"
108,109,M,16,Marketing Assistant,others,Affluent Customer,Yes,Cody Blabey,43,"(40.3, 47.4]"
109,110,M,23,others,Financial Services,Affluent Customer,No,Sascha St. Quintin,21,"(18.929, 26.1]"
110,111,F,65,Analyst Programmer,others,Mass Customer,No,Cele Evason,28,"(26.1, 33.2]"
111,112,F,88,Marketing Manager,Retail,High Net Worth,No,Shena Parren,46,"(40.3, 47.4]"
112,113,M,67,Staff Scientist,others,Mass Customer,No,Gage Nickless,65,"(61.6, 68.7]"
113,114,F,10,Teacher,Entertainment,Affluent Customer,No,Sunny Swindells,36,"(33.2, 40.3]"
114,115,M,77,Account Executive,Health,Mass Customer,No,Alberik Mereweather,40,"(33.2, 40.3]"
115,116,M,49,Assistant Professor,Manufacturing,Affluent Customer,Yes,Scottie Swiffen,22,"(18.929, 26.1]"
116,117,F,75,Marketing Manager,Manufacturing,Mass Customer,No,Nance Suttling,39,"(33.2, 40.3]"
117,118,M,43,Budget/Accounting Analyst IV,others,High Net Worth,No,Prentice Pearmain,62,"(61.6, 68.7]"
118,119,M,9,Associate Professor,others,High Net Worth,Yes,Willey Chastanet,40,"(33.2, 40.3]"
119,120,M,80,Legal Assistant,Financial Services,High Net Worth,Yes,Sloan Wagg,43,"(40.3, 47.4]"
120,121,M,82,Graphic Designer,Manufacturing,Mass Customer,No,Myles Pauncefort,64,"(61.6, 68.7]"
121,122,M,87,Quality Control Specialist,Financial Services,Mass Customer,Yes,Colver Itter,42,"(40.3, 47.4]"
122,123,F,85,Analyst Programmer,Financial Services,High Net Worth,No,Almeta Kalinsky,33,"(26.1, 33.2]"
123,124,F,27,Administrative Assistant II,Health,High Net Worth,Yes,Kath Cunney,26,"(18.929, 26.1]"
124,125,F,94,Computer Systems Analyst II,Property,Mass Customer,No,Darrelle Antoniewski,61,"(54.5, 61.6]"
125,126,M,53,Administrative Officer,Health,Mass Customer,Yes,Norman Cliff,29,"(26.1, 33.2]"
126,127,F,81,Compensation Analyst,Financial Services,Mass Customer,No,Merrili Whitear,47,"(40.3, 47.4]"
127,128,M,73,Systems Administrator III,Property,Mass Customer,Yes,Isidro Cypler,44,"(40.3, 47.4]"
128,129,M,64,Financial Advisor,Financial Services,High Net Worth,Yes,Weidar Silkstone,36,"(33.2, 40.3]"
129,130,M,32,Chemical Engineer,Manufacturing,Mass Customer,No,Raddy Delete,24,"(18.929, 26.1]"
130,131,F,57,Administrative Officer,Retail,High Net Worth,No,Jana Renyard,57,"(54.5, 61.6]"
131,132,F,5,Web Designer I,Manufacturing,Mass Customer,Yes,Celesta Willavoys,58,"(54.5, 61.6]"
132,133,M,12,VP Accounting,Financial Services,Mass Customer,Yes,Eldridge Fiddeman,44,"(40.3, 47.4]"
133,134,F,34,Legal Assistant,Telecommunications,Affluent Customer,Yes,Merna McCulloch,24,"(18.929, 26.1]"
134,135,F,18,Internal Auditor,IT,Mass Customer,No,Rosalia Sigart,46,"(40.3, 47.4]"
135,136,M,46,Senior Developer,Manufacturing,High Net Worth,Yes,Mel Bennet,48,"(47.4, 54.5]"
136,137,M,27,Office Assistant II,Property,High Net Worth,No,Vaughn Artin,34,"(33.2, 40.3]"
137,138,M,5,Recruiter,Financial Services,Affluent Customer,Yes,Onofredo Franc,36,"(33.2, 40.3]"
139,140,M,9,Programmer Analyst III,Manufacturing,Mass Customer,No,Morrie Flaxon,27,"(26.1, 33.2]"
140,141,M,67,Teacher,Financial Services,High Net Worth,Yes,Townsend Trobe,67,"(61.6, 68.7]"
141,142,M,57,Quality Engineer,Health,Affluent Customer,No,Bentley Fortesquieu,54,"(47.4, 54.5]"
142,143,M,19,Operator,Argiculture,Mass Customer,Yes,Kendall Figg,64,"(61.6, 68.7]"
144,145,M,33,Account Executive,Financial Services,Mass Customer,No,Filippo Ferrara,24,"(18.929, 26.1]"
145,146,M,34,Quality Control Specialist,Manufacturing,Mass Customer,No,Ricoriki Matlock,36,"(33.2, 40.3]"
146,147,F,32,Analog Circuit Design manager,Health,Mass Customer,Yes,Rea Pattrick,48,"(47.4, 54.5]"
147,148,F,69,Programmer Analyst III,others,Mass Customer,Yes,Jaquith Maffey,40,"(33.2, 40.3]"
148,149,F,41,Research Nurse,Health,Mass Customer,Yes,Drucy Kausche,26,"(18.929, 26.1]"
149,150,M,6,Cost Accountant,Financial Services,Affluent Customer,No,Bradly Crosse,38,"(33.2, 40.3]"
150,151,M,36,Marketing Manager,Manufacturing,Mass Customer,Yes,Donnie Brimson,56,"(54.5, 61.6]"
151,152,F,5,Compensation Analyst,Financial Services,Mass Customer,No,Stephana Cardew,40,"(33.2, 40.3]"
152,153,F,73,Assistant Media Planner,Entertainment,Mass Customer,Yes,Lorilyn Walshe,44,"(40.3, 47.4]"
153,154,F,90,Junior Executive,others,Mass Customer,No,Faydra Dulieu,63,"(61.6, 68.7]"
154,155,M,4,Quality Engineer,Manufacturing,Mass Customer,No,Orran Bogges,36,"(33.2, 40.3]"
155,156,F,23,Cost Accountant,Financial Services,Mass Customer,Yes,Shayla Rimmington,42,"(40.3, 47.4]"
156,157,M,97,Financial Advisor,Financial Services,Affluent Customer,No,Chad Houtby,47,"(40.3, 47.4]"
157,158,M,99,Internal Auditor,others,Affluent Customer,No,Hamlin Odams,37,"(33.2, 40.3]"
158,159,M,90,Research Nurse,Health,Affluent Customer,No,Arin Matskevich,34,"(33.2, 40.3]"
159,160,M,5,Registered Nurse,Health,Mass Customer,No,Wake Durning,57,"(54.5, 61.6]"
160,161,M,49,others,others,Mass Customer,No,Tadd Bloss,45,"(40.3, 47.4]"
161,162,M,90,Nurse Practicioner,IT,Mass Customer,No,Port Acuna,42,"(40.3, 47.4]"
162,163,F,58,Librarian,Entertainment,High Net Worth,Yes,Kessia Helder,45,"(40.3, 47.4]"
163,164,F,55,Senior Editor,Retail,Affluent Customer,Yes,Aarika Van Vuuren,22,"(18.929, 26.1]"
164,165,M,61,Administrative Officer,Argiculture,Mass Customer,Yes,Aldon Roelofs,37,"(33.2, 40.3]"
165,166,M,54,Structural Analysis Engineer,Manufacturing,Affluent Customer,No,Elston Oleszczak,66,"(61.6, 68.7]"
166,167,F,95,others,Health,High Net Worth,Yes,Nathalie Tideswell,52,"(47.4, 54.5]"
168,169,M,20,Data Coordiator,Telecommunications,High Net Worth,Yes,Alfy Bruhnke,64,"(61.6, 68.7]"
169,170,M,80,Pharmacist,Health,High Net Worth,No,Jammal Gever,46,"(40.3, 47.4]"
170,171,F,62,Assistant Manager,Manufacturing,Mass Customer,No,Halli Davidoff,51,"(47.4, 54.5]"
171,172,M,54,Editor,Manufacturing,Affluent Customer,Yes,Hilton Carney,33,"(26.1, 33.2]"
172,173,F,99,General Manager,Health,Affluent Customer,No,Ebba Hanselmann,24,"(18.929, 26.1]"
173,174,F,93,Food Chemist,Health,Mass Customer,No,Catie Tosspell,32,"(26.1, 33.2]"
174,175,M,36,Quality Engineer,Manufacturing,Affluent Customer,No,Templeton Hambrook,46,"(40.3, 47.4]"
175,176,M,39,Accountant I,Property,Mass Customer,No,Angelo Clayal,29,"(26.1, 33.2]"
176,177,F,25,Professor,Financial Services,High Net Worth,No,Ondrea Pablos,32,"(26.1, 33.2]"
177,178,M,2,others,others,Affluent Customer,No,Matthieu Bertelmot,54,"(47.4, 54.5]"
178,179,M,23,Environmental Tech,Manufacturing,High Net Worth,Yes,Esteban Sewill,55,"(54.5, 61.6]"
179,180,F,16,Web Designer III,Argiculture,Affluent Customer,No,Trisha Neasham,50,"(47.4, 54.5]"
180,181,F,49,Senior Editor,Manufacturing,Mass Customer,No,Pavla Braunle,39,"(33.2, 40.3]"
181,182,M,99,Sales Associate,Financial Services,Affluent Customer,Yes,Lydon Dahlman,29,"(26.1, 33.2]"
182,183,F,7,Geologist III,Retail,Affluent Customer,No,Dannie Hissie,24,"(18.929, 26.1]"
183,184,M,40,Marketing Manager,Manufacturing,High Net Worth,Yes,Nappie Paolo,50,"(47.4, 54.5]"
184,185,M,80,others,Property,Mass Customer,Yes,Crosby Walcot,42,"(40.3, 47.4]"
185,186,F,46,Software Test Engineer I,Financial Services,Mass Customer,No,Mireielle Jeppe,47,"(40.3, 47.4]"
186,187,M,97,Structural Engineer,others,Mass Customer,No,Pincas Ather,67,"(61.6, 68.7]"
187,188,F,54,Safety Technician II,Property,High Net Worth,Yes,Audry Seine,46,"(40.3, 47.4]"
188,189,M,73,Safety Technician I,Financial Services,Affluent Customer,No,Umberto Torricella,40,"(33.2, 40.3]"
189,190,F,42,Registered Nurse,Health,Affluent Customer,No,Hayley Girardengo,42,"(40.3, 47.4]"
190,191,M,22,Help Desk Operator,others,Affluent Customer,Yes,Christopher Heining,61,"(54.5, 61.6]"
191,192,F,2,Junior Executive,Health,Mass Customer,Yes,Goldi Osler,43,"(40.3, 47.4]"
192,193,M,13,Recruiting Manager,Manufacturing,Mass Customer,Yes,Foss Hardes,57,"(54.5, 61.6]"
193,194,F,4,Web Developer III,Financial Services,Affluent Customer,No,Ursala Ferrai,47,"(40.3, 47.4]"
194,195,F,34,Project Manager,Manufacturing,Mass Customer,No,Talyah Rylatt,63,"(61.6, 68.7]"
195,196,M,90,Programmer Analyst II,Manufacturing,High Net Worth,No,Swen Odhams,55,"(54.5, 61.6]"
197,198,F,82,Assistant Media Planner,Entertainment,Mass Customer,No,Vanya Gumb,40,"(33.2, 40.3]"
198,199,F,61,Junior Executive,Health,Mass Customer,Yes,Verla Alven,43,"(40.3, 47.4]"
199,200,M,7,Physical Therapy Assistant,Property,Affluent Customer,Yes,Hube Weald,64,"(61.6, 68.7]"
200,201,M,45,Design Engineer,Manufacturing,Mass Customer,Yes,Salem Huie,55,"(54.5, 61.6]"
201,202,F,38,Librarian,Entertainment,Affluent Customer,Yes,Audie Pillinger,58,"(54.5, 61.6]"
202,203,M,71,Senior Quality Engineer,Argiculture,Mass Customer,Yes,Donovan Conry,57,"(54.5, 61.6]"
203,204,M,56,Editor,Financial Services,Mass Customer,No,Thorny Hackworth,45,"(40.3, 47.4]"
204,205,M,18,Administrative Assistant II,Financial Services,Mass Customer,Yes,Rolfe Kellard,63,"(61.6, 68.7]"
205,206,F,98,Statistician I,others,Mass Customer,Yes,Mari Chevolleau,67,"(61.6, 68.7]"
206,207,F,9,others,others,Mass Customer,No,Adena Whyman,27,"(26.1, 33.2]"
207,208,M,57,Office Assistant III,Property,High Net Worth,No,Rutter Excell,27,"(26.1, 33.2]"
208,209,M,9,Analog Circuit Design manager,others,Affluent Customer,Yes,Udall Bellard,64,"(61.6, 68.7]"
209,210,M,50,Assistant Manager,Property,Mass Customer,No,Albrecht Thomasson,58,"(54.5, 61.6]"
211,212,F,21,Desktop Support Technician,IT,Affluent Customer,No,Nanice Ellse,20,"(18.929, 26.1]"
212,213,M,13,Actuary,Financial Services,High Net Worth,Yes,Lockwood Exroll,25,"(18.929, 26.1]"
213,214,M,82,Food Chemist,Health,Mass Customer,No,Jeramie Cellier,64,"(61.6, 68.7]"
214,215,F,37,Assistant Professor,Retail,High Net Worth,Yes,Debera Foxworthy,47,"(40.3, 47.4]"
215,216,F,12,Quality Engineer,Financial Services,High Net Worth,Yes,Cinderella Parcall,26,"(18.929, 26.1]"
216,217,F,63,others,Manufacturing,High Net Worth,No,Jeralee Quartly,42,"(40.3, 47.4]"
217,218,F,37,Administrative Officer,Property,High Net Worth,Yes,Stefa Dunnan,28,"(26.1, 33.2]"
218,219,M,9,Database Administrator III,Health,Mass Customer,No,Markus Mughal,57,"(54.5, 61.6]"
219,220,F,79,Electrical Engineer,Manufacturing,High Net Worth,No,Jeniffer Apark,67,"(61.6, 68.7]"
220,221,F,14,Tax Accountant,Manufacturing,Mass Customer,No,Mara Bloore,41,"(40.3, 47.4]"
221,222,M,89,Clinical Specialist,Health,Mass Customer,No,Nev Larive,43,"(40.3, 47.4]"
222,223,M,13,VP Sales,others,Affluent Customer,Yes,Ossie Meaton,38,"(33.2, 40.3]"
223,224,M,2,Compensation Analyst,Financial Services,Affluent Customer,No,Morgun Girvan,54,"(47.4, 54.5]"
224,225,F,84,Pharmacist,Health,Affluent Customer,No,Brittaney Pring,44,"(40.3, 47.4]"
225,226,M,96,Database Administrator IV,Manufacturing,Mass Customer,No,Bondie Letty,44,"(40.3, 47.4]"
226,227,M,99,Accountant I,Entertainment,Mass Customer,No,Wendall McKeand,48,"(47.4, 54.5]"
227,228,F,59,Systems Administrator II,Manufacturing,High Net Worth,No,Lucia Pickervance,35,"(33.2, 40.3]"
228,229,M,30,others,Property,High Net Worth,No,Vaughn Lambis,55,"(54.5, 61.6]"
229,230,F,74,Internal Auditor,Property,High Net Worth,No,Maegan Scyone,67,"(61.6, 68.7]"
230,231,M,48,Design Engineer,Financial Services,Mass Customer,Yes,Basile Winsor,26,"(18.929, 26.1]"
231,232,F,94,Professor,Retail,Mass Customer,No,Zaria Koeppke,34,"(33.2, 40.3]"
232,233,M,34,Environmental Tech,Property,Mass Customer,No,Art Barwell,35,"(33.2, 40.3]"
233,234,F,71,Chief Design Engineer,Retail,High Net Worth,No,Mead Alpes,52,"(47.4, 54.5]"
234,235,F,30,Social Worker,Health,Mass Customer,No,Leona Phateplace,45,"(40.3, 47.4]"
235,236,M,79,Research Nurse,Health,Affluent Customer,No,Tybalt Gillingwater,67,"(61.6, 68.7]"
236,237,M,18,Account Coordinator,Property,High Net Worth,Yes,Reginald Dartan,47,"(40.3, 47.4]"
237,238,M,54,Programmer III,others,Mass Customer,Yes,Max Bilborough,37,"(33.2, 40.3]"
238,239,M,62,Registered Nurse,Health,Affluent Customer,No,Wells Pressman,29,"(26.1, 33.2]"
239,240,M,49,Administrative Assistant III,IT,High Net Worth,Yes,Gavin Fawks,32,"(26.1, 33.2]"
240,241,M,94,Quality Engineer,Entertainment,Mass Customer,No,Quillan Duigan,34,"(33.2, 40.3]"
241,242,M,17,Nurse,Property,Affluent Customer,No,Taite Droghan,29,"(26.1, 33.2]"
242,243,F,94,Teacher,Manufacturing,High Net Worth,Yes,Barbara Croxley,45,"(40.3, 47.4]"
243,244,M,57,others,Retail,Affluent Customer,No,Germayne Sperry,47,"(40.3, 47.4]"
244,245,F,6,Associate Professor,Financial Services,Affluent Customer,No,Noell Grahlmans,20,"(18.929, 26.1]"
245,246,F,63,Technical Writer,Manufacturing,High Net Worth,No,Binny Whight,30,"(26.1, 33.2]"
246,247,F,62,Staff Accountant II,Financial Services,High Net Worth,Yes,Kristal Joysey,38,"(33.2, 40.3]"
247,248,F,76,Clinical Specialist,Health,Affluent Customer,Yes,Inger Eskell,43,"(40.3, 47.4]"
248,249,M,65,Quality Control Specialist,IT,High Net Worth,No,D'arcy Slay,29,"(26.1, 33.2]"
251,252,F,39,Account Coordinator,Property,Mass Customer,Yes,Anthea Ruskin,38,"(33.2, 40.3]"
252,253,F,82,Food Chemist,Health,Mass Customer,Yes,Amalee Choak,24,"(18.929, 26.1]"
253,254,F,98,Information Systems Manager,Retail,Mass Customer,No,Barbie Rubi,60,"(54.5, 61.6]"
254,255,F,2,Desktop Support Technician,IT,Mass Customer,No,Keeley Kruger,67,"(61.6, 68.7]"
255,256,F,16,Director of Sales,Health,High Net Worth,Yes,Linell Beadle,46,"(40.3, 47.4]"
257,258,F,24,Administrative Officer,Manufacturing,High Net Worth,No,Othella Keher,29,"(26.1, 33.2]"
258,259,F,70,Senior Developer,Health,High Net Worth,Yes,Venita Dymick,38,"(33.2, 40.3]"
259,260,F,47,Senior Quality Engineer,Health,High Net Worth,Yes,Farand Marriner,42,"(40.3, 47.4]"
260,261,M,74,Structural Engineer,others,Mass Customer,No,Marve Pryn,44,"(40.3, 47.4]"
261,262,M,97,others,Health,High Net Worth,Yes,Cordie Petrelli,44,"(40.3, 47.4]"
262,263,F,89,Dental Hygienist,Health,High Net Worth,No,Tonia Leigh,36,"(33.2, 40.3]"
263,264,M,31,Technical Writer,Health,Mass Customer,No,Jedd Spiby,44,"(40.3, 47.4]"
264,265,M,74,Sales Representative,Retail,High Net Worth,Yes,Pennie Stoile,56,"(54.5, 61.6]"
265,266,F,69,Account Executive,Retail,Affluent Customer,No,Lelia Garatty,32,"(26.1, 33.2]"
267,268,F,60,Chemical Engineer,Manufacturing,Mass Customer,No,Kacie Kidston,43,"(40.3, 47.4]"
